Comunidades  autónomas;Gastos y duración media de los viajes;Tipo de dato;Periodo;Total
Total;Gasto total;Dato base;2020M12;696,16
Total;Gasto total;Dato base;2020M11;467,15
Total;Gasto total;Dato base;2020M10;861,80
Total;Gasto total;Dato base;2020M09;967,48
Total;Gasto total;Dato base;2020M08;2.456,83
Total;Gasto total;Dato base;2020M07;2.450,09
Total;Gasto total;Dato base;2020M06;133,37
Total;Gasto total;Dato base;2020M05;0,00
Total;Gasto total;Dato base;2020M04;0,00
Total;Gasto total;Dato base;2020M03;2.214,89
Total;Gasto total;Dato base;2020M02;4.713,58
Total;Gasto total;Dato base;2020M01;4.778,57
Total;Gasto total;Dato base;2019M12;5.010,84
Total;Gasto total;Dato base;2019M11;5.062,63
Total;Gasto total;Dato base;2019M10;8.322,55
Total;Gasto total;Dato base;2019M09;9.617,21
Total;Gasto total;Dato base;2019M08;11.704,76
Total;Gasto total;Dato base;2019M07;11.941,51
Total;Gasto total;Dato base;2019M06;9.686,12
Total;Gasto total;Dato base;2019M05;8.137,84
Total;Gasto total;Dato base;2019M04;7.056,36
Total;Gasto total;Dato base;2019M03;6.034,87
Total;Gasto total;Dato base;2019M02;4.658,61
Total;Gasto total;Dato base;2019M01;4.678,67
Total;Gasto total;Dato base;2018M12;5.009,52
Total;Gasto total;Dato base;2018M11;4.888,55
Total;Gasto total;Dato base;2018M10;8.164,58
Total;Gasto total;Dato base;2018M09;9.545,81
Total;Gasto total;Dato base;2018M08;11.459,69
Total;Gasto total;Dato base;2018M07;11.748,10
Total;Gasto total;Dato base;2018M06;9.370,81
Total;Gasto total;Dato base;2018M05;8.155,06
Total;Gasto total;Dato base;2018M04;6.621,53
Total;Gasto total;Dato base;2018M03;5.726,73
Total;Gasto total;Dato base;2018M02;4.535,94
Total;Gasto total;Dato base;2018M01;4.524,43
Total;Gasto total;Dato base;2017M12;4.530,66
Total;Gasto total;Dato base;2017M11;4.642,35
Total;Gasto total;Dato base;2017M10;7.789,23
Total;Gasto total;Dato base;2017M09;9.476,29
Total;Gasto total;Dato base;2017M08;11.340,29
Total;Gasto total;Dato base;2017M07;11.850,99
Total;Gasto total;Dato base;2017M06;8.987,77
Total;Gasto total;Dato base;2017M05;7.927,07
Total;Gasto total;Dato base;2017M04;6.782,08
Total;Gasto total;Dato base;2017M03;5.109,49
Total;Gasto total;Dato base;2017M02;4.304,73
Total;Gasto total;Dato base;2017M01;4.262,99
Total;Gasto total;Dato base;2016M12;4.525,45
Total;Gasto total;Dato base;2016M11;4.205,06
Total;Gasto total;Dato base;2016M10;7.333,85
Total;Gasto total;Dato base;2016M09;8.399,31
Total;Gasto total;Dato base;2016M08;10.281,98
Total;Gasto total;Dato base;2016M07;10.238,54
Total;Gasto total;Dato base;2016M06;7.817,41
Total;Gasto total;Dato base;2016M05;6.917,93
Total;Gasto total;Dato base;2016M04;5.627,99
Total;Gasto total;Dato base;2016M03;4.624,47
Total;Gasto total;Dato base;2016M02;3.706,27
Total;Gasto total;Dato base;2016M01;3.737,26
Total;Gasto total;Dato base;2015M12;3.773,27
Total;Gasto total;Dato base;2015M11;3.872,84
Total;Gasto total;Dato base;2015M10;6.280,63
Total;Gasto total;Tasa de variación anual;2020M12;-86,11
Total;Gasto total;Tasa de variación anual;2020M11;-90,77
Total;Gasto total;Tasa de variación anual;2020M10;-89,65
Total;Gasto total;Tasa de variación anual;2020M09;-89,94
Total;Gasto total;Tasa de variación anual;2020M08;-79,01
Total;Gasto total;Tasa de variación anual;2020M07;-79,48
Total;Gasto total;Tasa de variación anual;2020M06;-98,62
Total;Gasto total;Tasa de variación anual;2020M05;-100,00
Total;Gasto total;Tasa de variación anual;2020M04;-100,00
Total;Gasto total;Tasa de variación anual;2020M03;-63,30
Total;Gasto total;Tasa de variación anual;2020M02;1,18
Total;Gasto total;Tasa de variación anual;2020M01;2,14
Total;Gasto total;Tasa de variación anual;2019M12;0,03
Total;Gasto total;Tasa de variación anual;2019M11;3,56
Total;Gasto total;Tasa de variación anual;2019M10;1,93
Total;Gasto total;Tasa de variación anual;2019M09;0,75
Total;Gasto total;Tasa de variación anual;2019M08;2,14
Total;Gasto total;Tasa de variación anual;2019M07;1,65
Total;Gasto total;Tasa de variación anual;2019M06;3,36
Total;Gasto total;Tasa de variación anual;2019M05;-0,21
Total;Gasto total;Tasa de variación anual;2019M04;6,57
Total;Gasto total;Tasa de variación anual;2019M03;5,38
Total;Gasto total;Tasa de variación anual;2019M02;2,70
Total;Gasto total;Tasa de variación anual;2019M01;3,41
Total;Gasto total;Tasa de variación anual;2018M12;10,57
Total;Gasto total;Tasa de variación anual;2018M11;5,30
Total;Gasto total;Tasa de variación anual;2018M10;4,82
Total;Gasto total;Tasa de variación anual;2018M09;0,73
Total;Gasto total;Tasa de variación anual;2018M08;1,05
Total;Gasto total;Tasa de variación anual;2018M07;-0,87
Total;Gasto total;Tasa de variación anual;2018M06;4,26
Total;Gasto total;Tasa de variación anual;2018M05;2,88
Total;Gasto total;Tasa de variación anual;2018M04;-2,37
Total;Gasto total;Tasa de variación anual;2018M03;12,08
Total;Gasto total;Tasa de variación anual;2018M02;5,37
Total;Gasto total;Tasa de variación anual;2018M01;6,13
Total;Gasto total;Tasa de variación anual;2017M12;0,11
Total;Gasto total;Tasa de variación anual;2017M11;10,40
Total;Gasto total;Tasa de variación anual;2017M10;6,21
Total;Gasto total;Tasa de variación anual;2017M09;12,82
Total;Gasto total;Tasa de variación anual;2017M08;10,29
Total;Gasto total;Tasa de variación anual;2017M07;15,75
Total;Gasto total;Tasa de variación anual;2017M06;14,97
Total;Gasto total;Tasa de variación anual;2017M05;14,59
Total;Gasto total;Tasa de variación anual;2017M04;20,51
Total;Gasto total;Tasa de variación anual;2017M03;10,49
Total;Gasto total;Tasa de variación anual;2017M02;16,15
Total;Gasto total;Tasa de variación anual;2017M01;14,07
Total;Gasto total;Tasa de variación anual;2016M12;19,93
Total;Gasto total;Tasa de variación anual;2016M11;8,58
Total;Gasto total;Tasa de variación anual;2016M10;16,77
Total;Gasto total;Tasa de variación anual;2016M09;10,30
Total;Gasto total;Tasa de variación anual;2016M08;4,13
Total;Gasto total;Tasa de variación anual;2016M07;7,75
Total;Gasto total;Tasa de variación anual;2016M06;12,77
Total;Gasto total;Tasa de variación anual;2016M05;8,54
Total;Gasto total;Tasa de variación anual;2016M04;4,22
Total;Gasto total;Tasa de variación anual;2016M03;9,43
Total;Gasto total;Tasa de variación anual;2016M02;8,02
Total;Gasto total;Tasa de variación anual;2016M01;3,62
Total;Gasto total;Tasa de variación anual;2015M12;9,42
Total;Gasto total;Tasa de variación anual;2015M11;12,19
Total;Gasto total;Tasa de variación anual;2015M10;4,06
Total;Gasto total;Acumulado en lo que va de año;2020M12;19.739,92
Total;Gasto total;Acumulado en lo que va de año;2020M11;19.043,76
Total;Gasto total;Acumulado en lo que va de año;2020M10;18.576,61
Total;Gasto total;Acumulado en lo que va de año;2020M09;17.714,81
Total;Gasto total;Acumulado en lo que va de año;2020M08;16.747,33
Total;Gasto total;Acumulado en lo que va de año;2020M07;14.290,50
Total;Gasto total;Acumulado en lo que va de año;2020M06;11.840,42
Total;Gasto total;Acumulado en lo que va de año;2020M05;11.707,04
Total;Gasto total;Acumulado en lo que va de año;2020M04;11.707,04
Total;Gasto total;Acumulado en lo que va de año;2020M03;11.707,04
Total;Gasto total;Acumulado en lo que va de año;2020M02;9.492,15
Total;Gasto total;Acumulado en lo que va de año;2020M01;4.778,57
Total;Gasto total;Acumulado en lo que va de año;2019M12;91.911,97
Total;Gasto total;Acumulado en lo que va de año;2019M11;86.901,13
Total;Gasto total;Acumulado en lo que va de año;2019M10;81.838,50
Total;Gasto total;Acumulado en lo que va de año;2019M09;73.515,95
Total;Gasto total;Acumulado en lo que va de año;2019M08;63.898,74
Total;Gasto total;Acumulado en lo que va de año;2019M07;52.193,98
Total;Gasto total;Acumulado en lo que va de año;2019M06;40.252,47
Total;Gasto total;Acumulado en lo que va de año;2019M05;30.566,35
Total;Gasto total;Acumulado en lo que va de año;2019M04;22.428,51
Total;Gasto total;Acumulado en lo que va de año;2019M03;15.372,15
Total;Gasto total;Acumulado en lo que va de año;2019M02;9.337,28
Total;Gasto total;Acumulado en lo que va de año;2019M01;4.678,67
Total;Gasto total;Acumulado en lo que va de año;2018M12;89.750,75
Total;Gasto total;Acumulado en lo que va de año;2018M11;84.741,23
Total;Gasto total;Acumulado en lo que va de año;2018M10;79.852,68
Total;Gasto total;Acumulado en lo que va de año;2018M09;71.688,10
Total;Gasto total;Acumulado en lo que va de año;2018M08;62.142,29
Total;Gasto total;Acumulado en lo que va de año;2018M07;50.682,60
Total;Gasto total;Acumulado en lo que va de año;2018M06;38.934,51
Total;Gasto total;Acumulado en lo que va de año;2018M05;29.563,70
Total;Gasto total;Acumulado en lo que va de año;2018M04;21.408,64
Total;Gasto total;Acumulado en lo que va de año;2018M03;14.787,10
Total;Gasto total;Acumulado en lo que va de año;2018M02;9.060,37
Total;Gasto total;Acumulado en lo que va de año;2018M01;4.524,43
Total;Gasto total;Acumulado en lo que va de año;2017M12;87.003,93
Total;Gasto total;Acumulado en lo que va de año;2017M11;82.473,27
Total;Gasto total;Acumulado en lo que va de año;2017M10;77.830,92
Total;Gasto total;Acumulado en lo que va de año;2017M09;70.041,69
Total;Gasto total;Acumulado en lo que va de año;2017M08;60.565,40
Total;Gasto total;Acumulado en lo que va de año;2017M07;49.225,11
Total;Gasto total;Acumulado en lo que va de año;2017M06;37.374,12
Total;Gasto total;Acumulado en lo que va de año;2017M05;28.386,35
Total;Gasto total;Acumulado en lo que va de año;2017M04;20.459,29
Total;Gasto total;Acumulado en lo que va de año;2017M03;13.677,21
Total;Gasto total;Acumulado en lo que va de año;2017M02;8.567,72
Total;Gasto total;Acumulado en lo que va de año;2017M01;4.262,99
Total;Gasto total;Acumulado en lo que va de año;2016M12;77.415,54
Total;Gasto total;Acumulado en lo que va de año;2016M11;72.890,09
Total;Gasto total;Acumulado en lo que va de año;2016M10;68.685,02
Total;Gasto total;Acumulado en lo que va de año;2016M09;61.351,17
Total;Gasto total;Acumulado en lo que va de año;2016M08;52.951,86
Total;Gasto total;Acumulado en lo que va de año;2016M07;42.669,88
Total;Gasto total;Acumulado en lo que va de año;2016M06;32.431,34
Total;Gasto total;Acumulado en lo que va de año;2016M05;24.613,93
Total;Gasto total;Acumulado en lo que va de año;2016M04;17.696,00
Total;Gasto total;Acumulado en lo que va de año;2016M03;12.068,01
Total;Gasto total;Acumulado en lo que va de año;2016M02;7.443,53
Total;Gasto total;Acumulado en lo que va de año;2016M01;3.737,26
Total;Gasto total;Acumulado en lo que va de año;2015M12;""
Total;Gasto total;Acumulado en lo que va de año;2015M11;""
Total;Gasto total;Acumulado en lo que va de año;2015M10;""
Total;Gasto total;Tasa de variación acumulada;2020M12;-78,52
Total;Gasto total;Tasa de variación acumulada;2020M11;-78,09
Total;Gasto total;Tasa de variación acumulada;2020M10;-77,30
Total;Gasto total;Tasa de variación acumulada;2020M09;-75,90
Total;Gasto total;Tasa de variación acumulada;2020M08;-73,79
Total;Gasto total;Tasa de variación acumulada;2020M07;-72,62
Total;Gasto total;Tasa de variación acumulada;2020M06;-70,58
Total;Gasto total;Tasa de variación acumulada;2020M05;-61,70
Total;Gasto total;Tasa de variación acumulada;2020M04;-47,80
Total;Gasto total;Tasa de variación acumulada;2020M03;-23,84
Total;Gasto total;Tasa de variación acumulada;2020M02;1,66
Total;Gasto total;Tasa de variación acumulada;2020M01;2,14
Total;Gasto total;Tasa de variación acumulada;2019M12;2,41
Total;Gasto total;Tasa de variación acumulada;2019M11;2,55
Total;Gasto total;Tasa de variación acumulada;2019M10;2,49
Total;Gasto total;Tasa de variación acumulada;2019M09;2,55
Total;Gasto total;Tasa de variación acumulada;2019M08;2,83
Total;Gasto total;Tasa de variación acumulada;2019M07;2,98
Total;Gasto total;Tasa de variación acumulada;2019M06;3,39
Total;Gasto total;Tasa de variación acumulada;2019M05;3,39
Total;Gasto total;Tasa de variación acumulada;2019M04;4,76
Total;Gasto total;Tasa de variación acumulada;2019M03;3,96
Total;Gasto total;Tasa de variación acumulada;2019M02;3,06
Total;Gasto total;Tasa de variación acumulada;2019M01;3,41
Total;Gasto total;Tasa de variación acumulada;2018M12;3,16
Total;Gasto total;Tasa de variación acumulada;2018M11;2,75
Total;Gasto total;Tasa de variación acumulada;2018M10;2,60
Total;Gasto total;Tasa de variación acumulada;2018M09;2,35
Total;Gasto total;Tasa de variación acumulada;2018M08;2,60
Total;Gasto total;Tasa de variación acumulada;2018M07;2,96
Total;Gasto total;Tasa de variación acumulada;2018M06;4,18
Total;Gasto total;Tasa de variación acumulada;2018M05;4,15
Total;Gasto total;Tasa de variación acumulada;2018M04;4,64
Total;Gasto total;Tasa de variación acumulada;2018M03;8,11
Total;Gasto total;Tasa de variación acumulada;2018M02;5,75
Total;Gasto total;Tasa de variación acumulada;2018M01;6,13
Total;Gasto total;Tasa de variación acumulada;2017M12;12,39
Total;Gasto total;Tasa de variación acumulada;2017M11;13,15
Total;Gasto total;Tasa de variación acumulada;2017M10;13,32
Total;Gasto total;Tasa de variación acumulada;2017M09;14,17
Total;Gasto total;Tasa de variación acumulada;2017M08;14,38
Total;Gasto total;Tasa de variación acumulada;2017M07;15,36
Total;Gasto total;Tasa de variación acumulada;2017M06;15,24
Total;Gasto total;Tasa de variación acumulada;2017M05;15,33
Total;Gasto total;Tasa de variación acumulada;2017M04;15,62
Total;Gasto total;Tasa de variación acumulada;2017M03;13,33
Total;Gasto total;Tasa de variación acumulada;2017M02;15,10
Total;Gasto total;Tasa de variación acumulada;2017M01;14,07
Total;Gasto total;Tasa de variación acumulada;2016M12;9,21
Total;Gasto total;Tasa de variación acumulada;2016M11;8,61
Total;Gasto total;Tasa de variación acumulada;2016M10;8,61
Total;Gasto total;Tasa de variación acumulada;2016M09;7,71
Total;Gasto total;Tasa de variación acumulada;2016M08;7,31
Total;Gasto total;Tasa de variación acumulada;2016M07;8,10
Total;Gasto total;Tasa de variación acumulada;2016M06;8,21
Total;Gasto total;Tasa de variación acumulada;2016M05;6,84
Total;Gasto total;Tasa de variación acumulada;2016M04;6,19
Total;Gasto total;Tasa de variación acumulada;2016M03;7,14
Total;Gasto total;Tasa de variación acumulada;2016M02;5,76
Total;Gasto total;Tasa de variación acumulada;2016M01;3,62
Total;Gasto total;Tasa de variación acumulada;2015M12;""
Total;Gasto total;Tasa de variación acumulada;2015M11;""
Total;Gasto total;Tasa de variación acumulada;2015M10;""
Total;Gasto medio por persona;Dato base;2020M12;1.073
Total;Gasto medio por persona;Dato base;2020M11;1.022
Total;Gasto medio por persona;Dato base;2020M10;845
Total;Gasto medio por persona;Dato base;2020M09;849
Total;Gasto medio por persona;Dato base;2020M08;1.006
Total;Gasto medio por persona;Dato base;2020M07;994
Total;Gasto medio por persona;Dato base;2020M06;651
Total;Gasto medio por persona;Dato base;2020M05;0
Total;Gasto medio por persona;Dato base;2020M04;0
Total;Gasto medio por persona;Dato base;2020M03;1.097
Total;Gasto medio por persona;Dato base;2020M02;1.066
Total;Gasto medio por persona;Dato base;2020M01;1.155
Total;Gasto medio por persona;Dato base;2019M12;1.164
Total;Gasto medio por persona;Dato base;2019M11;1.088
Total;Gasto medio por persona;Dato base;2019M10;1.097
Total;Gasto medio por persona;Dato base;2019M09;1.087
Total;Gasto medio por persona;Dato base;2019M08;1.157
Total;Gasto medio por persona;Dato base;2019M07;1.209
Total;Gasto medio por persona;Dato base;2019M06;1.096
Total;Gasto medio por persona;Dato base;2019M05;1.028
Total;Gasto medio por persona;Dato base;2019M04;987
Total;Gasto medio por persona;Dato base;2019M03;1.068
Total;Gasto medio por persona;Dato base;2019M02;1.063
Total;Gasto medio por persona;Dato base;2019M01;1.115
Total;Gasto medio por persona;Dato base;2018M12;1.150
Total;Gasto medio por persona;Dato base;2018M11;1.078
Total;Gasto medio por persona;Dato base;2018M10;1.067
Total;Gasto medio por persona;Dato base;2018M09;1.069
Total;Gasto medio por persona;Dato base;2018M08;1.126
Total;Gasto medio por persona;Dato base;2018M07;1.172
Total;Gasto medio por persona;Dato base;2018M06;1.095
Total;Gasto medio por persona;Dato base;2018M05;1.009
Total;Gasto medio por persona;Dato base;2018M04;977
Total;Gasto medio por persona;Dato base;2018M03;1.062
Total;Gasto medio por persona;Dato base;2018M02;1.075
Total;Gasto medio por persona;Dato base;2018M01;1.102
Total;Gasto medio por persona;Dato base;2017M12;1.138
Total;Gasto medio por persona;Dato base;2017M11;1.057
Total;Gasto medio por persona;Dato base;2017M10;1.071
Total;Gasto medio por persona;Dato base;2017M09;1.067
Total;Gasto medio por persona;Dato base;2017M08;1.091
Total;Gasto medio por persona;Dato base;2017M07;1.129
Total;Gasto medio por persona;Dato base;2017M06;1.066
Total;Gasto medio por persona;Dato base;2017M05;991
Total;Gasto medio por persona;Dato base;2017M04;958
Total;Gasto medio por persona;Dato base;2017M03;1.040
Total;Gasto medio por persona;Dato base;2017M02;1.045
Total;Gasto medio por persona;Dato base;2017M01;1.091
Total;Gasto medio por persona;Dato base;2016M12;1.134
Total;Gasto medio por persona;Dato base;2016M11;1.026
Total;Gasto medio por persona;Dato base;2016M10;1.027
Total;Gasto medio por persona;Dato base;2016M09;1.059
Total;Gasto medio por persona;Dato base;2016M08;1.025
Total;Gasto medio por persona;Dato base;2016M07;1.073
Total;Gasto medio por persona;Dato base;2016M06;1.035
Total;Gasto medio por persona;Dato base;2016M05;973
Total;Gasto medio por persona;Dato base;2016M04;925
Total;Gasto medio por persona;Dato base;2016M03;999
Total;Gasto medio por persona;Dato base;2016M02;1.007
Total;Gasto medio por persona;Dato base;2016M01;1.060
Total;Gasto medio por persona;Dato base;2015M12;1.074
Total;Gasto medio por persona;Dato base;2015M11;1.031
Total;Gasto medio por persona;Dato base;2015M10;976
Total;Gasto medio por persona;Tasa de variación anual;2020M12;-7,80
Total;Gasto medio por persona;Tasa de variación anual;2020M11;-6,00
Total;Gasto medio por persona;Tasa de variación anual;2020M10;-22,93
Total;Gasto medio por persona;Tasa de variación anual;2020M09;-21,96
Total;Gasto medio por persona;Tasa de variación anual;2020M08;-13,06
Total;Gasto medio por persona;Tasa de variación anual;2020M07;-17,80
Total;Gasto medio por persona;Tasa de variación anual;2020M06;-40,64
Total;Gasto medio por persona;Tasa de variación anual;2020M05;-100,00
Total;Gasto medio por persona;Tasa de variación anual;2020M04;-100,00
Total;Gasto medio por persona;Tasa de variación anual;2020M03;2,73
Total;Gasto medio por persona;Tasa de variación anual;2020M02;0,19
Total;Gasto medio por persona;Tasa de variación anual;2020M01;3,55
Total;Gasto medio por persona;Tasa de variación anual;2019M12;1,19
Total;Gasto medio por persona;Tasa de variación anual;2019M11;0,93
Total;Gasto medio por persona;Tasa de variación anual;2019M10;2,77
Total;Gasto medio por persona;Tasa de variación anual;2019M09;1,74
Total;Gasto medio por persona;Tasa de variación anual;2019M08;2,72
Total;Gasto medio por persona;Tasa de variación anual;2019M07;3,16
Total;Gasto medio por persona;Tasa de variación anual;2019M06;0,09
Total;Gasto medio por persona;Tasa de variación anual;2019M05;1,89
Total;Gasto medio por persona;Tasa de variación anual;2019M04;1,11
Total;Gasto medio por persona;Tasa de variación anual;2019M03;0,60
Total;Gasto medio por persona;Tasa de variación anual;2019M02;-1,10
Total;Gasto medio por persona;Tasa de variación anual;2019M01;1,21
Total;Gasto medio por persona;Tasa de variación anual;2018M12;1,12
Total;Gasto medio por persona;Tasa de variación anual;2018M11;1,95
Total;Gasto medio por persona;Tasa de variación anual;2018M10;-0,39
Total;Gasto medio por persona;Tasa de variación anual;2018M09;0,11
Total;Gasto medio por persona;Tasa de variación anual;2018M08;3,26
Total;Gasto medio por persona;Tasa de variación anual;2018M07;3,81
Total;Gasto medio por persona;Tasa de variación anual;2018M06;2,77
Total;Gasto medio por persona;Tasa de variación anual;2018M05;1,82
Total;Gasto medio por persona;Tasa de variación anual;2018M04;1,97
Total;Gasto medio por persona;Tasa de variación anual;2018M03;2,12
Total;Gasto medio por persona;Tasa de variación anual;2018M02;2,90
Total;Gasto medio por persona;Tasa de variación anual;2018M01;0,94
Total;Gasto medio por persona;Tasa de variación anual;2017M12;0,31
Total;Gasto medio por persona;Tasa de variación anual;2017M11;3,00
Total;Gasto medio por persona;Tasa de variación anual;2017M10;4,28
Total;Gasto medio por persona;Tasa de variación anual;2017M09;0,82
Total;Gasto medio por persona;Tasa de variación anual;2017M08;6,37
Total;Gasto medio por persona;Tasa de variación anual;2017M07;5,30
Total;Gasto medio por persona;Tasa de variación anual;2017M06;2,98
Total;Gasto medio por persona;Tasa de variación anual;2017M05;1,82
Total;Gasto medio por persona;Tasa de variación anual;2017M04;3,57
Total;Gasto medio por persona;Tasa de variación anual;2017M03;4,04
Total;Gasto medio por persona;Tasa de variación anual;2017M02;3,73
Total;Gasto medio por persona;Tasa de variación anual;2017M01;2,99
Total;Gasto medio por persona;Tasa de variación anual;2016M12;5,58
Total;Gasto medio por persona;Tasa de variación anual;2016M11;-0,52
Total;Gasto medio por persona;Tasa de variación anual;2016M10;5,23
Total;Gasto medio por persona;Tasa de variación anual;2016M09;0,71
Total;Gasto medio por persona;Tasa de variación anual;2016M08;-2,08
Total;Gasto medio por persona;Tasa de variación anual;2016M07;-2,03
Total;Gasto medio por persona;Tasa de variación anual;2016M06;-0,11
Total;Gasto medio por persona;Tasa de variación anual;2016M05;0,33
Total;Gasto medio por persona;Tasa de variación anual;2016M04;-6,60
Total;Gasto medio por persona;Tasa de variación anual;2016M03;-5,21
Total;Gasto medio por persona;Tasa de variación anual;2016M02;-5,20
Total;Gasto medio por persona;Tasa de variación anual;2016M01;-6,68
Total;Gasto medio por persona;Tasa de variación anual;2015M12;1,39
Total;Gasto medio por persona;Tasa de variación anual;2015M11;1,47
Total;Gasto medio por persona;Tasa de variación anual;2015M10;-4,43
Total;Gasto medio por persona;Acumulado en lo que va de año;2020M12;1.041
Total;Gasto medio por persona;Acumulado en lo que va de año;2020M11;1.040
Total;Gasto medio por persona;Acumulado en lo que va de año;2020M10;1.041
Total;Gasto medio por persona;Acumulado en lo que va de año;2020M09;1.052
Total;Gasto medio por persona;Acumulado en lo que va de año;2020M08;1.067
Total;Gasto medio por persona;Acumulado en lo que va de año;2020M07;1.079
Total;Gasto medio por persona;Acumulado en lo que va de año;2020M06;1.098
Total;Gasto medio por persona;Acumulado en lo que va de año;2020M05;1.106
Total;Gasto medio por persona;Acumulado en lo que va de año;2020M04;1.106
Total;Gasto medio por persona;Acumulado en lo que va de año;2020M03;1.106
Total;Gasto medio por persona;Acumulado en lo que va de año;2020M02;1.109
Total;Gasto medio por persona;Acumulado en lo que va de año;2020M01;1.155
Total;Gasto medio por persona;Acumulado en lo que va de año;2019M12;1.101
Total;Gasto medio por persona;Acumulado en lo que va de año;2019M11;1.097
Total;Gasto medio por persona;Acumulado en lo que va de año;2019M10;1.098
Total;Gasto medio por persona;Acumulado en lo que va de año;2019M09;1.098
Total;Gasto medio por persona;Acumulado en lo que va de año;2019M08;1.099
Total;Gasto medio por persona;Acumulado en lo que va de año;2019M07;1.087
Total;Gasto medio por persona;Acumulado en lo que va de año;2019M06;1.056
Total;Gasto medio por persona;Acumulado en lo que va de año;2019M05;1.044
Total;Gasto medio por persona;Acumulado en lo que va de año;2019M04;1.049
Total;Gasto medio por persona;Acumulado en lo que va de año;2019M03;1.081
Total;Gasto medio por persona;Acumulado en lo que va de año;2019M02;1.089
Total;Gasto medio por persona;Acumulado en lo que va de año;2019M01;1.115
Total;Gasto medio por persona;Acumulado en lo que va de año;2018M12;1.084
Total;Gasto medio por persona;Acumulado en lo que va de año;2018M11;1.080
Total;Gasto medio por persona;Acumulado en lo que va de año;2018M10;1.080
Total;Gasto medio por persona;Acumulado en lo que va de año;2018M09;1.082
Total;Gasto medio por persona;Acumulado en lo que va de año;2018M08;1.084
Total;Gasto medio por persona;Acumulado en lo que va de año;2018M07;1.075
Total;Gasto medio por persona;Acumulado en lo que va de año;2018M06;1.048
Total;Gasto medio por persona;Acumulado en lo que va de año;2018M05;1.034
Total;Gasto medio por persona;Acumulado en lo que va de año;2018M04;1.044
Total;Gasto medio por persona;Acumulado en lo que va de año;2018M03;1.078
Total;Gasto medio por persona;Acumulado en lo que va de año;2018M02;1.088
Total;Gasto medio por persona;Acumulado en lo que va de año;2018M01;1.102
Total;Gasto medio por persona;Acumulado en lo que va de año;2017M12;1.063
Total;Gasto medio por persona;Acumulado en lo que va de año;2017M11;1.059
Total;Gasto medio por persona;Acumulado en lo que va de año;2017M10;1.059
Total;Gasto medio por persona;Acumulado en lo que va de año;2017M09;1.058
Total;Gasto medio por persona;Acumulado en lo que va de año;2017M08;1.056
Total;Gasto medio por persona;Acumulado en lo que va de año;2017M07;1.048
Total;Gasto medio por persona;Acumulado en lo que va de año;2017M06;1.025
Total;Gasto medio por persona;Acumulado en lo que va de año;2017M05;1.013
Total;Gasto medio por persona;Acumulado en lo que va de año;2017M04;1.022
Total;Gasto medio por persona;Acumulado en lo que va de año;2017M03;1.057
Total;Gasto medio por persona;Acumulado en lo que va de año;2017M02;1.068
Total;Gasto medio por persona;Acumulado en lo que va de año;2017M01;1.091
Total;Gasto medio por persona;Acumulado en lo que va de año;2016M12;1.028
Total;Gasto medio por persona;Acumulado en lo que va de año;2016M11;1.022
Total;Gasto medio por persona;Acumulado en lo que va de año;2016M10;1.022
Total;Gasto medio por persona;Acumulado en lo que va de año;2016M09;1.021
Total;Gasto medio por persona;Acumulado en lo que va de año;2016M08;1.015
Total;Gasto medio por persona;Acumulado en lo que va de año;2016M07;1.013
Total;Gasto medio por persona;Acumulado en lo que va de año;2016M06;995
Total;Gasto medio por persona;Acumulado en lo que va de año;2016M05;983
Total;Gasto medio por persona;Acumulado en lo que va de año;2016M04;988
Total;Gasto medio por persona;Acumulado en lo que va de año;2016M03;1.020
Total;Gasto medio por persona;Acumulado en lo que va de año;2016M02;1.033
Total;Gasto medio por persona;Acumulado en lo que va de año;2016M01;1.060
Total;Gasto medio por persona;Acumulado en lo que va de año;2015M12;""
Total;Gasto medio por persona;Acumulado en lo que va de año;2015M11;""
Total;Gasto medio por persona;Acumulado en lo que va de año;2015M10;1.016
Total;Gasto medio por persona;Tasa de variación acumulada;2020M12;-5,39
Total;Gasto medio por persona;Tasa de variación acumulada;2020M11;-5,20
Total;Gasto medio por persona;Tasa de variación acumulada;2020M10;-5,21
Total;Gasto medio por persona;Tasa de variación acumulada;2020M09;-4,14
Total;Gasto medio por persona;Tasa de variación acumulada;2020M08;-2,94
Total;Gasto medio por persona;Tasa de variación acumulada;2020M07;-0,81
Total;Gasto medio por persona;Tasa de variación acumulada;2020M06;3,98
Total;Gasto medio por persona;Tasa de variación acumulada;2020M05;6,03
Total;Gasto medio por persona;Tasa de variación acumulada;2020M04;5,44
Total;Gasto medio por persona;Tasa de variación acumulada;2020M03;2,40
Total;Gasto medio por persona;Tasa de variación acumulada;2020M02;1,83
Total;Gasto medio por persona;Tasa de variación acumulada;2020M01;3,55
Total;Gasto medio por persona;Tasa de variación acumulada;2019M12;1,55
Total;Gasto medio por persona;Tasa de variación acumulada;2019M11;1,58
Total;Gasto medio por persona;Tasa de variación acumulada;2019M10;1,62
Total;Gasto medio por persona;Tasa de variación acumulada;2019M09;1,49
Total;Gasto medio por persona;Tasa de variación acumulada;2019M08;1,44
Total;Gasto medio por persona;Tasa de variación acumulada;2019M07;1,18
Total;Gasto medio por persona;Tasa de variación acumulada;2019M06;0,71
Total;Gasto medio por persona;Tasa de variación acumulada;2019M05;0,90
Total;Gasto medio por persona;Tasa de variación acumulada;2019M04;0,48
Total;Gasto medio por persona;Tasa de variación acumulada;2019M03;0,24
